,Station_id,boro_code,density
281,528,1,0.00108511996074
282,529,1,0.000664025894135
283,530,1,0.000676502755368
284,531,1,0.00105930998309
285,532,3,0.000548492605564
286,533,1,1.83483253422e-05
287,534,1,8.94175055011e-05
288,536,1,0.000813931712181
289,537,1,0.000931360994372
290,539,3,0.00031754835059
291,540,1,0.00105979927177
292,545,1,0.000694708371513
293,546,1,0.000794054359727
294,2000,3,0.000440849096889
295,2001,3,3.99993492461e-05
296,2002,3,0.00023962912897
297,2003,1,0.0014536154947
298,2004,1,0.000304031750921
299,2005,3,3.99993492461e-05
300,2006,1,0.000305316133695
301,2008,1,0.000621151973919
302,2009,1,0.000927140879543
303,2010,1,0.000308741154425
304,2012,1,0.000989402863538
305,2017,1,0.00085943555903
306,2021,1,0.000591672331202
307,2022,1,0.000596320573622
308,2023,1,0.000243665760545
309,3002,1,0.00081870227677
310,3016,3,0.000221036159289
311,3041,3,0.000302258079471
312,3042,3,0.000355651706217
313,3043,3,0.000376568797107
314,3044,3,0.000323175170361
315,3046,3,0.000427699463727
316,3047,3,0.000409167655132
317,3048,3,0.000467637651889
318,3049,3,0.000418464139972
319,3050,3,0.000491123508327
320,3052,3,0.000431246806627
321,3053,3,0.000408403141576
322,3054,3,0.000338954730155
323,3055,3,0.000464946564172
324,3056,3,0.000304765683934
325,3057,3,0.000601458104718
326,3058,3,0.000472836344069
327,3059,3,0.0005128968544
328,3060,3,0.000423662832152
329,3061,3,0.000376996924698
330,3062,3,0.000366874765218
331,3063,3,0.000492132666221
332,3064,3,0.000403255416966
333,3065,3,0.000569715501876
334,3066,3,0.000260668542029
335,3067,3,0.000532468401432
336,3068,3,0.000639561460346
337,3069,3,0.000618460886202
338,3070,3,0.00064714543482
339,3071,3,0.000603121686216
340,3072,3,0.000591794653371
341,3073,3,0.000648796784101
342,3074,3,0.00093270653823
343,3075,3,0.000644943635779
344,3076,3,0.000509227189331
345,3077,3,0.000607288794771
346,3078,3,0.00042800526915
347,3079,3,0.000412531514778
348,3080,3,0.000810873657958
349,3081,3,0.000318404605772
350,3082,3,0.000529899635884
351,3083,3,0.000329107795555
352,3084,3,0.000315835840224
353,3085,3,0.000435956210131
354,3086,3,0.000323542136868
355,3087,3,0.000435344599287
356,3088,3,0.000301891112964
357,3089,3,0.00034078956269
358,3090,3,0.000321911174615
